,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
326,26,0.145,Jhay Cortez,0.806,309120,0.786,7,0,10,0.0935,-3.831,0,27,0.0741,13531879,91.973,4,4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,0.58
327,27,0.00838,Taylor Swift,0.769,171387,0.678,7,0,2,0.0596,-5.604,1,28,0.0507,13517718,85.025,4,29fRTIKsJhLUJoldM89GZS,You Need To Calm Down,0.706
328,28,0.214,Ed Sheeran,0.746,206187,0.787,7,0,4,0.0669,-6.373,1,29,0.12,12934499,95.005,4,4wuCQX7JvAZLlrcmH4AeZF,Cross Me (feat. Chance the Rapper & PnB Rock),0.607
329,29,0.374,Ali Gatie,0.732,212607,0.463,7,0,11,0.194,-6.972,0,30,0.0287,12680162,95.971,4,6moU77g9RQyMzHNuKEaQKq,It's You,0.397
330,30,0.0275,J Balvin,0.639,222347,0.791,7,0,10,0.362,-4.443,0,31,0.253,12529837,92.603,4,25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,0.939
331,31,0.194,Katy Perry,0.77,223523,0.882,7,0,8,0.316,-4.792,1,32,0.0602,12256490,99.991,4,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,0.385
332,32,0.179,Martin Garrix,0.661,163805,0.723,7,1.23E-05,5,0.14,-6.976,0,33,0.0566,12105088,113.778,4,40OMBMYRk5IQL6xCzGM0JA,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.316
333,33,0.0427,Jonas Brothers,0.842,181027,0.734,7,0,1,0.106,-5.065,0,34,0.0588,12003832,137.958,4,22vgEDb5hykfaTwLuskFGD,Sucker,0.952
334,34,0.0667,Marshmello,0.659,181824,0.623,7,0,4,0.582,-2.253,1,35,0.0451,11885029,88.042,4,4hPpVbbakQNv8YTHYaOJP4,One Thing Right,0.439
335,35,0.225,The Chainsmokers,0.591,217653,0.702,7,0,7,0.414,-5.59,1,36,0.0289,11557238,104.003,4,05CwHjIk71RXVU40boRMnR,Call You Mine,0.501
336,36,0.592,Ariana Grande,0.778,178627,0.317,7,0,1,0.0881,-10.732,0,37,0.334,11498117,140.048,4,6ocbgoVGwYJhOv1GgI9NsF,7 rings,0.327
337,37,0.0154,Kygo,0.693,228267,0.678,7,6.05E-06,8,0.101,-7.159,1,38,0.0324,11497837,103.952,4,6oJ6le65B3SEqPwMRNXWjY,Higher Love,0.404
338,38,0.217,Maluma,0.777,175733,0.712,7,0,10,0.091,-4.84,1,39,0.277,11397919,95.692,4,7KbF6AdprOXEEHlsq11Z6d,23:00:00,0.68
339,39,0.0361,Lil Nas X,0.908,113013,0.517,7,1.73E-06,1,0.0949,-6.063,1,40,0.129,11144701,136.019,4,53CJANUxooaqGOtdsBTh7O,Old Town Road,0.471
340,40,0.0247,Young Thug,0.796,200107,0.586,7,0,4,0.132,-6.946,0,41,0.147,11105172,97.981,4,7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),0.179
341,41,0.39,ROSAL√çA,0.882,161627,0.689,7,0.00325,6,0.0501,-4.027,1,42,0.124,10634250,97.963,4,2qG5sZ7Si6sdK74qLxedYM,Con Altura,0.746
342,42,0.371,Lady Gaga,0.572,215733,0.385,7,0,7,0.231,-6.362,1,43,0.0308,10538290,95.799,4,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.323
343,43,0.135,Ed Sheeran,0.852,207760,0.666,7,0,11,0.798,-6.923,0,44,0.184,10474036,91.046,4,0AtP8EkGPn6SwxKDaUuXec,Remember The Name (feat. Eminem & 50 Cent),0.726
344,44,0.051,Khalid,0.901,197573,0.4,7,0,0,0.0599,-8.575,1,45,0.126,10399937,135.984,4,6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),0.346
345,45,0.241,Nicky Jam,0.673,201818,0.752,7,4.51E-05,2,0.0813,-3.572,0,46,0.0561,10220237,175.997,4,6v0lAdFF4haL8xjBIUjtOw,Te Robar√©,0.797
346,46,0.323,Pedro Cap√≥,0.826,238200,0.773,7,0,11,0.143,-4.218,0,47,0.0524,9980018,126.899,4,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,0.761
347,47,0.123,Chris Brown,0.698,260640,0.454,7,0,1,0.155,-6.756,0,48,0.151,9799641,92.932,4,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),0.137
348,48,0.272,Avicii,0.802,157202,0.645,7,0,5,0.119,-6.181,0,49,0.0715,9773185,100.001,4,2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),0.376
349,49,0.191,Marshmello,0.687,214290,0.792,7,0,5,0.167,-2.749,1,50,0.0452,9640741,100.015,4,2dpaYNEQHiRxtZbfNsse99,Happier,0.671
350,0,0.0392,Shawn Mendes,0.759,190800,0.548,8,0,9,0.0828,-6.049,0,1,0.029,46917158,116.967,4,6v3KW9xbzN5yKLt9YKDYA2,Señorita,0.749
351,1,0.492,Taylor Swift,0.359,221307,0.543,8,1.58E-05,7,0.118,-7.582,1,2,0.0919,29990567,68.534,4,1dGr1c8CrMLDpV6mPbImSI,Lover,0.453
352,2,0.0846,Anuel AA,0.786,301714,0.808,8,0.000289,7,0.0822,-3.702,1,3,0.0882,29346900,105.027,4,2ksOAxtIxY8yElEWw8RhgK,China,0.609
353,3,0.0204,Lil Tecca,0.745,131280,0.642,8,0,7,0.0658,-6.257,0,4,0.287,25273589,179.974,4,1kBbgxAUc4HQv7cgIayIDH,Ransom,0.226
354,4,0.447,Post Malone,0.58,174960,0.653,8,0,5,0.111,-3.818,1,5,0.0745,24022111,150.231,4,6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),0.175
