Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
2,2IRZnDFmlqMuOrYOLnZZyc,21,0.259,0.889,180522,0.496,0.000000,4,0.252,-6.365,0,0.0905,4,0.544,86.003
2,116H0KvKr2Zl4RPuVBruDO,22,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
2,7eBqSVxrzQZtK2mmgRG6lC,23,0.145,0.759,268434,0.73,0.000003,0,0.11,-7.985,0,0.0516,4,0.74,115.007
2,5itOtNx0WxtJmi1TQ3RuRd,24,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
2,1rqqCSm0Qe4I9rUvWncaom,25,0.193,0.579,190947,0.904,0.000000,5,0.064,-2.729,1,0.0618,4,0.681,82.014
2,6FyRXC8tJUh863JCkyWqtk,26,0.323,0.767,258639,0.709,0.000000,1,0.0676,-4.47,1,0.336,4,0.72,171.993
2,2xLMifQCjDGFmkHkpNLD9h,27,0.00513,0.834,312820,0.73,0.000000,8,0.124,-3.714,1,0.222,4,0.446,155.008
2,2t8yVaLvJ0RenpXUIAC52d,28,0.0395,0.837,288624,0.636,0.001250,1,0.342,-7.643,1,0.086,4,0.274,145.972
2,3oh6SCCeLuXhFpEyepla6G,29,0.18,0.906,129264,0.382,0.000000,10,0.113,-12.89,0,0.269,4,0.391,104.025
2,5WHTFyqSii0lmT9R21abT8,30,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
2,7tFiyTwD0nx5a1eklYtX2J,31,0.288,0.392,354320,0.402,0.000000,0,0.243,-9.961,0,0.0536,4,0.228,143.883
2,0PG9fbaaHFHfre2gUVo7AN,32,0.0642,0.747,200890,0.57,0.000000,1,0.0832,-6.711,1,0.081,4,0.65,133.992
2,11cDEev79fPKi6uJCjUhu8,33,0.00791,0.51,226747,0.835,0.000000,3,0.219,-4.673,1,0.0447,4,0.435,140.024
2,7FGq80cy8juXBCD2nrqdWU,34,0.549,0.632,170770,0.686,0.000000,6,0.2,-7.665,0,0.243,4,0.329,89.949
2,3Ol2xnObFdKV9pmRD2t9x8,35,0.407,0.791,179449,0.587,0.000000,3,0.148,-5.075,0,0.0413,4,0.536,96.057
2,0s5DNDV6LAKn2u2Ufa3VjQ,36,0.146,0.709,204453,0.771,0.000003,7,0.249,-4.598,1,0.166,4,0.709,174.006
2,7EQpvVujgytLVY8vKiDHAg,37,0.0276,0.847,267107,0.58,0.054800,1,0.1,-5.316,1,0.0723,4,0.575,137.995
2,63cd4JkwGgYJrbOizbfmsp,38,0.172,0.68,194520,0.559,0.000000,0,0.318,-5.545,1,0.129,4,0.137,202.006
2,7dt6x5M1jzdTEt8oCbisTK,39,0.331,0.68,231267,0.578,0.000000,10,0.135,-5.804,1,0.04,4,0.341,145.038
2,0FZ4Dmg8jJJAPJnvBIzD9z,40,0.0521,0.861,228760,0.603,0.000000,8,0.0924,-5.788,0,0.176,4,0.504,98.043
2,1TEL6MlSSVLSdhOSddidlJ,41,0.78,0.647,171573,0.309,0.000007,7,0.202,-7.948,0,0.0366,4,0.195,87.045
2,4SPu0Ql902hTVXkBoNIYtq,42,0.447,0.737,182000,0.461,0.000000,6,0.268,-6.887,1,0.293,4,0.481,75.005
2,7fa9MBXhVfQ8P8Df9OEbD8,43,0.568,0.851,235545,0.541,0.000000,0,0.13,-6.825,1,0.0505,4,0.448,124.959
2,78QR3Wp35dqAhFEc2qAGjE,44,0.0852,0.897,145543,0.662,0.000000,1,0.534,-6.903,0,0.292,4,0.389,112.511
2,2qxmye6gAegTMjLKEBoR3d,45,0.74,0.652,169354,0.557,0.000000,1,0.124,-5.714,0,0.0318,4,0.483,150.073
2,3EPXxR3ImUwfayaurPi3cm,46,0.697,0.553,196373,0.586,0.000000,11,0.0813,-6.319,1,0.0362,4,0.443,126.684
