Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
3,108,8,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
3,109,9,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,4,0.628,133.002
3,110,10,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,4,0.761,126.899
3,111,11,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
3,112,12,0.0361,0.816,158400,0.754,0,11,0.217,-2.75,0,0.111,4,0.533,99.966
3,113,13,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,4,0.671,100.015
3,114,14,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,4,0.706,91.987
3,115,15,0.149,0.837,213594,0.364,0,8,0.271,-11.713,1,0.276,4,0.463,123.984
3,116,16,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,4,0.181,99.961
3,117,17,0.0361,0.908,113013,0.517,0.000002,1,0.0949,-6.063,1,0.129,4,0.471,136.019
3,118,18,0.176,0.599,162583,0.733,0,11,0.242,-7.058,1,0.203,4,0.534,102.211
3,119,19,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
3,120,20,0.229,0.717,207320,0.653,0,1,0.101,-5.634,1,0.0658,4,0.412,106.966
3,121,21,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,4,0.196,120.046
3,122,22,0.404,0.541,158027,0.468,0.000004,10,0.358,-4.039,0,0.362,4,0.69,95.266
3,123,23,0.0501,0.9,197487,0.4,0,0,0.0876,-8.443,1,0.124,4,0.338,136.001
3,124,24,0.252,0.837,184436,0.791,0.000001,4,0.188,-3.157,0,0.0773,4,0.618,91.98
3,125,25,0.145,0.759,268434,0.73,0.000003,0,0.11,-7.985,0,0.0516,4,0.74,115.007
3,126,26,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,4,0.606,122.015
3,127,27,0.753,0.688,360960,0.62,0.000005,11,0.158,-8.029,0,0.22,4,0.727,170.018
3,128,28,0.259,0.889,180522,0.496,0,4,0.252,-6.365,0,0.0905,4,0.544,86.003
3,129,29,0.0153,0.581,189487,0.662,0,9,0.111,-5.239,1,0.303,4,0.434,93.023
3,130,30,0.39,0.853,221543,0.351,0.000009,7,0.752,-10.198,1,0.241,4,0.282,118.028
3,131,31,0.193,0.579,190947,0.904,0,5,0.064,-2.729,1,0.0618,4,0.681,82.014
3,132,32,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
3,133,33,0.74,0.652,169354,0.557,0,1,0.124,-5.714,0,0.0318,4,0.483,150.073
3,134,34,0.293,0.777,247161,0.698,0.000023,6,0.0908,-7.706,0,0.0704,4,0.119,119.963
3,135,35,0.18,0.764,187200,0.752,0,8,0.0701,-3.713,0,0.0711,4,0.698,100.066
3,136,36,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
3,137,37,0.543,0.645,166101,0.568,0.266,5,0.257,-9.127,0,0.0823,4,0.391,84.999
3,138,38,0.0642,0.747,200890,0.57,0,1,0.0832,-6.711,1,0.081,4,0.65,133.992
3,139,39,0.271,0.414,354320,0.404,0,0,0.3,-9.928,0,0.0499,4,0.224,71.105
3,140,40,0.877,0.838,135597,0.549,0.000964,9,0.115,-7.145,0,0.0755,4,0.654,114.445
3,141,41,0.323,0.767,258639,0.709,0,1,0.0676,-4.47,1,0.336,4,0.72,171.993
3,142,42,0.328,0.685,240051,0.692,0,2,0.153,-5.122,1,0.0457,5,0.578,159.966
3,143,43,0.00513,0.834,312820,0.73,0,8,0.124,-3.714,1,0.222,4,0.446,155.008
3,144,44,0.172,0.68,194520,0.559,0,0,0.318,-5.545,1,0.129,4,0.137,202.006
3,145,45,0.549,0.632,170770,0.686,0,6,0.2,-7.665,0,0.243,4,0.329,89.949
3,146,46,0.146,0.709,204453,0.771,0.000003,7,0.249,-4.598,1,0.166,4,0.709,174.006
3,147,47,0.705,0.551,196493,0.537,0,11,0.0802,-7.595,1,0.034,4,0.493,126.421
3,148,48,0.331,0.68,231267,0.578,0,10,0.135,-5.804,1,0.04,4,0.341,145.038
3,149,49,0.751,0.501,182161,0.405,0,1,0.105,-5.679,1,0.0319,4,0.446,109.891
3,150,50,0.407,0.791,179449,0.587,0,3,0.148,-5.075,0,0.0413,4,0.536,96.057
4,151,1,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,4,0.562,135.128
4,152,2,0.0533,0.878,157067,0.619,0,6,0.113,-5.56,1,0.102,4,0.639,136.041
4,153,3,0.0361,0.908,113013,0.517,0.000002,1,0.0949,-6.063,1,0.129,4,0.471,136.019
4,154,4,0.272,0.802,157202,0.645,0,5,0.119,-6.181,0,0.0715,4,0.376,100.001
4,155,5,0.11,0.737,193227,0.86,0.000002,8,0.0574,-2.652,0,0.0593,4,0.656,93.989
4,156,6,0.0923,0.645,229773,0.862,0,11,0.192,-4.757,0,0.0965,4,0.798,119.991
4,157,7,0.592,0.778,178627,0.317,0,1,0.0881,-10.732,0,0.334,4,0.327,140.048
4,158,8,0.556,0.76,158040,0.479,0,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
4,159,9,0.0427,0.842,181040,0.734,0,1,0.106,-5.065,0,0.0588,4,0.952,137.958
4,160,10,0.051,0.901,197573,0.4,0,0,0.0599,-8.575,1,0.126,4,0.346,135.984
